id;firstname;lastname;mail;password;role
1;Loan;Dong;Equatorial zero platforms;Wallis;STUDENT
2;driver Ameliorated mindshare;Frozen neutral Global;Account Account;Customer;NONE
3;Franc;optimize;Fresh Tuna;Armenian Liaison Account;STUDENT
4;Alley Fantastic Clothing;attitude-oriented Meadow;Streets Dynamic wireless;Kids;NONE
5;Assurance 24/365;envisioneer Reverse-engineered HDD;synthesizing infrastructures;Global Bedfordshire;STUDENT
6;functionalities application invoice;index;Berkshire Electronics Integration;Synergistic;STUDENT
7;fuchsia Somoni Corporate;hack;Agent;index Handcrafted;INQUISITOR
8;Savings grey client-server;Sahara Fantastic array;Cotton;out-of-the-box Marketing Hampshire;EVALUATOR
9;SDR up;bus quantifying Mali;Cross-platform;Cambridgeshire;EVALUATOR
10;hacking;Multi-tiered Borders;e-services Table;virtual;INQUISITOR
